AirportFrom,AirportTo,route_flight_cnt_train,route_delay_rate_train
RDU,CVG,43,0.20930232558139536
TUL,LAX,18,0.4444444444444444
BWI,DEN,198,0.5050505050505051
ELP,LAS,74,0.6216216216216216
KOA,SFO,50,0.22
HNL,SNA,26,0.4230769230769231
PHL,IAH,118,0.6610169491525424
CLT,MIA,251,0.5418326693227091
CLT,SJU,69,0.4927536231884058
CLT,PBI,141,0.44680851063829785
PIT,JFK,134,0.41044776119402987
SLC,STL,57,0.6491228070175439
CLE,SEA,11,0.8181818181818182
PHL,CLE,45,0.5333333333333333
LCH,IAH,22,0.09090909090909091
LAX,DFW,448,0.35267857142857145
PNS,CLT,5,0.4
DFW,VPS,126,0.3968253968253968
BHM,MIA,45,0.1111111111111111
MSP,ATW,27,0.4444444444444444
TVC,DTW,103,0.33980582524271846
JFK,ORF,71,0.3380281690140845
DTW,TRI,27,0.25925925925925924
BMI,DTW,22,0.36363636363636365
MDT,DTW,73,0.2602739726027397
MGM,ATL,182,0.25274725274725274
COS,ORD,106,0.44339622641509435
SLC,SUN,154,0.5324675324675324
LAS,CMH,47,0.7446808510638298
MDW,TPA,99,0.7676767676767676
SEA,CLE,11,0.18181818181818182
DEN,SDF,30,0.5333333333333333
DEN,CLE,77,0.37662337662337664
ICT,DFW,93,0.22580645161290322
ATL,ALB,68,0.4411764705882353
MCO,PWM,25,0.56
MSP,SLC,135,0.6518518518518519
SRQ,MDW,44,0.22727272727272727
LIT,MEM,77,0.2727272727272727
LBB,IAH,83,0.21686746987951808
SLC,ANC,27,0.7777777777777778
MCO,MEM,75,0.30666666666666664
IAH,GSP,63,0.38095238095238093
MIA,CHS,55,0.4
LGA,PWM,10,0.6
SLC,RDM,54,0.46296296296296297
GNV,ATL,153,0.35947712418300654
BTV,ORD,57,0.42105263157894735
EUG,SFO,149,0.5033557046979866
IAH,DEN,258,0.6937984496124031
SCC,BRW,25,0.24
EWR,TPA,165,0.5212121212121212
JFK,MIA,292,0.4178082191780822
PHX,DTW,201,0.4427860696517413
STL,TPA,57,0.8771929824561403
SLC,IAH,158,0.569620253164557
MIA,TPA,146,0.3013698630136986
PHX,ATL,262,0.4083969465648855
ATL,SRQ,193,0.39896373056994816
DTW,PHL,184,0.3532608695652174
CLT,STT,30,0.26666666666666666
MEM,MCO,74,0.3783783783783784
SLC,IND,25,0.56
CLT,SYR,67,0.29850746268656714
PHL,IND,42,0.21428571428571427
BNA,MIA,78,0.3717948717948718
DCA,EWR,109,0.3577981651376147
DAL,IAH,157,0.3503184713375796
EWR,DAY,69,0.6086956521739131
ATL,BZN,10,0.3
CLT,SRQ,19,0.2631578947368421
BDL,RDU,32,0.40625
VPS,ATL,239,0.37656903765690375
IAD,CMH,70,0.4
AMA,DAL,131,0.5419847328244275
MDW,LIT,29,0.9310344827586207
DEN,SEA,391,0.45524296675191817
DEN,PSP,107,0.45794392523364486
RNO,SEA,27,0.8148148148148148
IAD,MDW,138,0.5797101449275363
BOI,RNO,48,0.5833333333333334
DCA,ORD,460,0.2565217391304348
AUS,IAD,28,0.07142857142857142
XNA,DFW,195,0.2205128205128205
BDL,ATL,149,0.44966442953020136
PHL,MSY,44,0.25
LIT,EWR,21,0.14285714285714285
CRP,IAH,248,0.20967741935483872
MSP,HNL,14,0.42857142857142855
CMH,MIA,71,0.49295774647887325
IAD,PNS,33,0.5151515151515151
FLL,ATL,530,0.33962264150943394
BDL,BNA,26,0.38461538461538464
MSY,DEN,112,0.3392857142857143
MCO,PIT,124,0.47580645161290325
RSW,MKE,72,0.2777777777777778
BOS,DEN,196,0.45918367346938777
ATL,LGA,728,0.45054945054945056
MIA,STL,76,0.42105263157894735
TPA,IND,67,0.34328358208955223
DFW,MSY,143,0.2867132867132867
PSP,SEA,55,0.5272727272727272
PHX,LIT,25,0.96
LGA,CVG,126,0.30952380952380953
MSP,SAT,26,0.5384615384615384
CLE,SYR,11,0.36363636363636365
MSP,BWI,64,0.4375
MSP,GEG,46,0.5
EWR,BWI,68,0.45588235294117646
CHA,DTW,25,0.12
PDX,OTH,24,0.3333333333333333
LAX,ASE,49,0.6530612244897959
LAS,SLC,315,0.6253968253968254
MCI,DAL,219,0.6940639269406392
SJC,PDX,135,0.6370370370370371
LGB,SLC,198,0.4595959595959596
PHX,IND,73,0.5068493150684932
DFW,SEA,235,0.5404255319148936
SMF,DFW,104,0.22115384615384615
ICT,ATL,194,0.28865979381443296
JAX,LAS,24,0.5833333333333334
SYR,CLT,61,0.36065573770491804
ABE,CLT,22,0.09090909090909091
ATL,PIT,305,0.3639344262295082
DTW,GRR,113,0.45132743362831856
PSP,DFW,66,0.3333333333333333
LRD,IAH,81,0.1728395061728395
DFW,AMA,53,0.3584905660377358
CSG,DFW,49,0.3673469387755102
DFW,SJT,13,0.6153846153846154
ORD,MLI,62,0.3870967741935484
ATL,AEX,108,0.37962962962962965
PVD,IAD,57,0.2982456140350877
DEN,HNL,26,0.2692307692307692
MHT,PHL,114,0.38596491228070173
DEN,CLT,122,0.3114754098360656
LGB,JFK,50,0.58
AUS,OAK,22,0.9545454545454546
PHX,OGG,41,0.34146341463414637
BNA,CLT,149,0.20134228187919462
SJC,ORD,49,0.4489795918367347
STL,DCA,170,0.20588235294117646
MSP,TUS,22,0.5
BNA,FLL,46,0.6956521739130435
BUF,RSW,15,0.2
SJU,BDL,27,0.4444444444444444
LGB,AUS,25,0.52
JAX,LGA,60,0.16666666666666666
HRL,IAH,115,0.14782608695652175
CLT,FAY,23,0.2608695652173913
DFW,TYR,50,0.24
DFW,CHA,26,0.46153846153846156
PIA,DTW,44,0.5
HSV,IAD,41,0.21951219512195122
SLC,OAK,186,0.6666666666666666
SEA,LAX,340,0.3735294117647059
AUS,BNA,42,0.6904761904761905
DAY,ATL,207,0.391304347826087
OAK,SLC,197,0.7055837563451777
SFO,STL,24,0.4166666666666667
SJC,OGG,10,0.5
PIT,DTW,83,0.4939759036144578
GPT,TPA,10,0.3
EWR,SAV,56,0.39285714285714285
CLE,GSP,22,0.45454545454545453
MEM,EWR,133,0.46616541353383456
MEM,BHM,65,0.3076923076923077
ONT,SLC,96,0.3020833333333333
MCI,SLC,55,0.6181818181818182
CMH,DCA,60,0.3333333333333333
DEN,SBA,49,0.3469387755102041
DEN,SMF,215,0.5488372093023256
TUL,HOU,77,0.5584415584415584
ATL,ORD,512,0.455078125
LAX,SJU,9,0.4444444444444444
MCI,OAK,19,0.5789473684210527
MKE,FLL,23,0.17391304347826086
ORD,TUL,145,0.4827586206896552
MSP,BOS,121,0.512396694214876
TLH,ATL,205,0.33170731707317075
ATL,TUL,125,0.512
FSM,DFW,62,0.24193548387096775
SYR,CLE,12,0.75
DFW,GJT,51,0.3333333333333333
ORF,DTW,84,0.4642857142857143
MSP,MOT,74,0.6216216216216216
ORF,JFK,96,0.2708333333333333
LSE,ORD,27,0.2222222222222222
MOB,ATL,200,0.345
FAY,ATL,196,0.3979591836734694
DEN,GCC,46,0.17391304347826086
BIS,DEN,97,0.44329896907216493
BHM,LGA,41,0.17073170731707318
RKS,GCC,24,0.5833333333333334
BOS,BWI,466,0.3798283261802575
DAL,SAT,303,0.6798679867986799
STL,CLE,36,0.75
MDW,PVD,73,0.6986301369863014
PHL,ATL,466,0.34549356223175964
EWR,JAX,102,0.43137254901960786
SNA,PDX,96,0.20833333333333334
ORF,BWI,85,0.5764705882352941
DCA,SYR,24,0.20833333333333334
CLT,ROC,26,0.5
LGA,BNA,111,0.2972972972972973
CLE,ORF,45,0.3333333333333333
ABI,DFW,173,0.15606936416184972
TYR,DFW,50,0.26
BHM,DTW,72,0.2777777777777778
CLE,MEM,63,0.3968253968253968
ATL,CHA,193,0.29533678756476683
AVL,ATL,211,0.41232227488151657
ATL,GTR,25,0.24
ORD,PIA,76,0.5131578947368421
CWA,EAU,24,0.4166666666666667
ELP,DAL,160,0.60625
DFW,ORD,465,0.43870967741935485
IND,MDW,74,0.7027027027027027
EWR,FLL,286,0.5979020979020979
BWI,ISP,117,0.8205128205128205
FLL,LGB,25,0.96
HRL,SAT,49,0.40816326530612246
PHX,IAH,263,0.3650190114068441
IAH,TUS,120,0.475
STL,BNA,40,0.55
MCO,FNT,28,0.42857142857142855
EWR,SAN,89,0.7191011235955056
CLE,IND,24,0.25
GRR,EWR,41,0.6829268292682927
EWR,STL,133,0.45864661654135336
MRY,PHX,49,0.12244897959183673
DTW,ATW,111,0.2972972972972973
ATL,MEI,47,0.40425531914893614
LWB,ATL,22,0.2727272727272727
PDX,SEA,198,0.37373737373737376
ORD,BDL,206,0.3300970873786408
HOU,LIT,26,0.6923076923076923
TPA,MIA,143,0.1958041958041958
ATL,MEM,318,0.48742138364779874
CLT,IND,22,0.13636363636363635
EWR,SLC,45,0.5555555555555556
DFW,FAT,42,0.47619047619047616
IAH,ABQ,151,0.3443708609271523
BDL,MSP,46,0.5869565217391305
IND,SLC,20,0.45
CVG,EWR,190,0.5052631578947369
DFW,ACT,41,0.2682926829268293
DFW,AGS,51,0.35294117647058826
ORD,ELP,102,0.5882352941176471
ORD,PNS,18,0.3888888888888889
ABY,ATL,70,0.21428571428571427
DEN,GTF,50,0.4
DEN,HSV,49,0.3469387755102041
MCO,BWI,298,0.4261744966442953
DEN,IAH,252,0.4523809523809524
SIT,JNU,42,0.2619047619047619
PHX,ANC,37,0.40540540540540543
BNA,BWI,153,0.7254901960784313
BDL,LAS,25,1.0
PBI,ISP,81,0.4567901234567901
MDW,ALB,52,0.8076923076923077
FLL,RIC,29,0.6896551724137931
PIT,DFW,73,0.547945205479452
CLE,PHL,44,0.38636363636363635
LAX,EGE,14,0.35714285714285715
RDU,CMH,21,0.47619047619047616
CLE,CVG,46,0.391304347826087
MEM,GRR,38,0.4473684210526316
DTW,BGM,62,0.3064516129032258
CMH,JFK,84,0.35714285714285715
ATL,FLO,14,0.5
LMT,PDX,24,0.5
SJU,MCO,191,0.5340314136125655
IND,LAS,69,0.6086956521739131
MDW,PDX,24,1.0
MSP,DTW,186,0.5
PDX,IAH,92,0.5543478260869565
MSY,EWR,69,0.4492753623188406
MDW,ORF,51,0.7254901960784313
CLT,PHX,206,0.6310679611650486
RDU,CLT,205,0.3853658536585366
CMH,DFW,110,0.4636363636363636
STT,ATL,24,0.16666666666666666
CAK,LGA,54,0.3148148148148148
RSW,CLE,35,0.4
TPA,DFW,167,0.30538922155688625
MIA,TLH,64,0.234375
ORD,FAR,128,0.3671875
HSV,ORD,56,0.3392857142857143
SLC,EUG,48,0.3541666666666667
ORD,BIS,28,0.2857142857142857
SFO,SMF,176,0.5568181818181818
MRY,SFO,154,0.4155844155844156
STL,SAN,20,1.0
DEN,SNA,278,0.4712230215827338
SEA,SLC,265,0.6566037735849056
DEN,SFO,363,0.5922865013774105
PDX,PHX,261,0.4099616858237548
PIT,PHX,102,0.46078431372549017
MCI,PDX,29,0.896551724137931
SAT,LAX,114,0.47368421052631576
ATL,CAK,247,0.3765182186234818
LAX,MIA,166,0.4036144578313253
BHM,LAS,25,0.84
MCI,TPA,41,0.7073170731707317
ORD,DCA,469,0.31769722814498935
SNA,ATL,114,0.21052631578947367
MFE,DFW,91,0.0989010989010989
TPA,CLE,46,0.32608695652173914
SLC,SMF,124,0.6129032258064516
IAD,JFK,142,0.4295774647887324
JAC,ATL,10,0.7
IAH,SMF,70,0.6571428571428571
BNA,MEM,75,0.29333333333333333
MSP,LNK,27,0.4444444444444444
SDF,CVG,46,0.41304347826086957
MSY,CVG,27,0.3333333333333333
IAD,JAX,64,0.28125
BNA,SAT,45,0.8222222222222222
MHT,MCO,82,0.5609756097560976
SMF,PDX,142,0.7746478873239436
PHL,MHT,118,0.5169491525423728
DEN,MCO,211,0.45023696682464454
HOU,TUL,71,0.6338028169014085
SJC,RNO,60,0.5833333333333334
DFW,PDX,96,0.5416666666666666
EYW,MCO,25,0.2
SLC,MSP,136,0.5588235294117647
SYR,DCA,24,0.16666666666666666
MSY,DTW,34,0.3235294117647059
ATL,DSM,74,0.4864864864864865
MLI,DTW,47,0.425531914893617
MOT,MSP,77,0.6883116883116883
MEM,GTR,25,0.16
ATL,ILM,136,0.4411764705882353
EUG,PDX,91,0.4725274725274725
MCI,CVG,58,0.2413793103448276
MCI,SFO,23,0.6521739130434783
LAS,SAN,273,0.7948717948717948
LAX,KOA,82,0.4024390243902439
ITO,OGG,25,0.16
DEN,AUS,161,0.577639751552795
MDW,ISP,72,0.7361111111111112
BNA,BDL,25,0.8
ATL,IAH,360,0.41944444444444445
RNO,LAX,207,0.45893719806763283
PBI,ATL,311,0.3247588424437299
TUS,PHX,225,0.08444444444444445
RDU,PHL,198,0.3939393939393939
DFW,MEM,166,0.3253012048192771
LAS,CVG,43,0.4418604651162791
DFW,DSM,149,0.3624161073825503
RAP,SLC,45,0.4888888888888889
ORD,MKE,191,0.5759162303664922
LGA,BHM,41,0.2926829268292683
HRL,HOU,147,0.46938775510204084
LAS,OGG,8,0.625
BWI,ATL,426,0.3215962441314554
HOU,MDW,143,0.8041958041958042
DEN,SJC,170,0.47058823529411764
ORD,CMH,275,0.3927272727272727
DFW,BHM,73,0.2465753424657534
AUS,ORD,139,0.3597122302158273
BUR,DFW,95,0.2631578947368421
STT,MIA,52,0.21153846153846154
CLT,MYR,97,0.29896907216494845
COS,ATL,25,0.48
IND,MCO,119,0.2605042016806723
FLL,AUS,50,0.62
LAX,IND,17,0.23529411764705882
AGS,DFW,45,0.35555555555555557
SLC,FAR,37,0.5135135135135135
BWI,CVG,41,0.3902439024390244
VLD,ATL,72,0.2361111111111111
GSO,ORD,24,0.5416666666666666
ORD,BZN,16,0.5625
ASE,LAX,52,0.5384615384615384
MAF,DEN,51,0.3137254901960784
BDL,ORD,214,0.32242990654205606
ELP,AUS,70,0.4857142857142857
PVD,PHX,24,0.5833333333333334
DFW,SLC,195,0.517948717948718
CLE,PBI,25,0.24
LGA,RSW,53,0.3018867924528302
ATL,PVD,74,0.40540540540540543
SNA,JFK,14,0.2857142857142857
MSP,SJC,34,0.6470588235294118
DTW,GRB,96,0.53125
MCI,CLE,74,0.35135135135135137
GRB,DTW,84,0.32142857142857145
SBP,PHX,61,0.19672131147540983
RSW,RDU,3,0.3333333333333333
MSN,DCA,19,0.42105263157894735
IYK,LAX,71,0.22535211267605634
EWR,PHX,169,0.41420118343195267
OMA,ORD,170,0.3588235294117647
HOU,OKC,75,0.76
LAS,ABQ,119,0.7310924369747899
ATL,CLT,517,0.32495164410058025
DFW,IND,121,0.2892561983471074
TUL,MIA,7,0.5714285714285714
SJU,ORD,82,0.2926829268292683
BOS,DCA,627,0.2822966507177033
SDF,BHM,33,0.7272727272727273
SRQ,IND,21,0.14285714285714285
XNA,EWR,30,0.36666666666666664
BRO,IAH,112,0.17857142857142858
CLE,JAX,11,0.36363636363636365
PNS,MIA,51,0.21568627450980393
XNA,CVG,38,0.18421052631578946
AGS,ATL,206,0.36893203883495146
CHA,ATL,188,0.24468085106382978
IAD,BTV,47,0.3617021276595745
OKC,LAX,23,0.5652173913043478
SFO,MRY,141,0.5460992907801419
SFO,GEG,49,0.5714285714285714
CAE,IAD,96,0.3541666666666667
PIT,MDW,127,0.7480314960629921
DEN,KOA,4,0.25
SAN,SFO,392,0.5663265306122449
IAD,FLL,75,0.6533333333333333
DFW,DCA,263,0.35361216730038025
SJU,TPA,28,0.5
BOS,SJC,20,0.45
SFO,PIT,27,0.5555555555555556
BHM,MCO,48,0.7083333333333334
CLE,LGA,125,0.232
LAS,MEM,56,0.30357142857142855
IAH,DSM,42,0.5238095238095238
JAN,DFW,197,0.3197969543147208
TYS,DFW,113,0.30973451327433627
MSP,TUL,35,0.2571428571428571
DTW,SBN,120,0.4583333333333333
BDL,CVG,84,0.32142857142857145
ORD,MHK,24,0.4166666666666667
ATL,LYH,46,0.41304347826086957
PHL,MEM,57,0.3157894736842105
CVG,MEM,71,0.323943661971831
CWA,ORD,84,0.4166666666666667
SFO,EUG,147,0.5918367346938775
MRY,DEN,26,0.3076923076923077
LAX,IAH,266,0.8233082706766918
MSY,JFK,77,0.22077922077922077
MSP,MDW,199,0.6231155778894473
ANC,ADK,8,0.0
BUR,SMF,182,0.6373626373626373
IAD,PDX,28,0.5357142857142857
LIT,LAS,24,0.75
ATL,MHT,26,0.34615384615384615
HPN,RSW,38,0.39473684210526316
SDF,MIA,49,0.46938775510204084
DTW,ALB,89,0.5168539325842697
TUL,MEM,77,0.18181818181818182
GJT,SLC,83,0.1927710843373494
ATL,ABE,27,0.5555555555555556
ATL,EVV,69,0.2898550724637681
SGF,ATL,68,0.39705882352941174
GSO,DTW,70,0.2571428571428571
CLE,IAD,53,0.5660377358490566
PNS,IAD,26,0.23076923076923078
ORD,SBN,122,0.4672131147540984
DEN,LNK,75,0.44
MKG,ORD,49,0.3469387755102041
SFO,ASE,26,0.6923076923076923
SFO,MCI,25,0.56
DFW,DEN,448,0.31473214285714285
FAI,ANC,162,0.37037037037037035
DTW,DEN,215,0.5627906976744186
FLL,DEN,95,0.5789473684210527
BOS,IAH,119,0.6386554621848739
CMH,MCO,104,0.6826923076923077
IAH,DFW,312,0.3974358974358974
PDX,IAD,25,0.16
DEN,GEG,130,0.5
DFW,IAD,180,0.29444444444444445
PHX,BUF,24,0.9166666666666666
DTW,AUS,22,0.4090909090909091
BDL,SJU,26,0.3076923076923077
EWR,CHS,71,0.49295774647887325
BWI,JFK,26,0.6538461538461539
BDL,RSW,11,0.5454545454545454
ORD,LIT,178,0.4943820224719101
FSM,MEM,73,0.1095890410958904
DEN,PIA,26,0.38461538461538464
PDX,SFO,160,0.45
MCI,ORD,278,0.31654676258992803
PHX,BWI,122,0.5737704918032787
IAH,BOS,125,0.576
CLT,DTW,191,0.36649214659685864
PIT,LAS,51,0.7450980392156863
SAN,RNO,47,0.723404255319149
MSY,ATL,361,0.29916897506925205
CLT,BWI,240,0.4166666666666667
SEA,KOA,38,0.23684210526315788
ATL,AUS,147,0.4489795918367347
MCI,SEA,25,0.84
DTW,LAS,134,0.5970149253731343
MIA,BDL,50,0.48
CLE,ATL,188,0.44680851063829785
DFW,LIT,249,0.2570281124497992
PHX,YUM,154,0.14285714285714285
PWM,DTW,73,0.3424657534246575
DTW,MDT,75,0.32
DTW,ERI,61,0.5245901639344263
COS,SLC,59,0.3559322033898305
SLC,PSC,105,0.3333333333333333
COS,LAX,68,0.3235294117647059
SMF,LAS,181,0.7679558011049724
PHX,BOS,133,0.40601503759398494
IND,PHX,72,0.5
JAX,ORF,44,0.36363636363636365
MSY,LGA,62,0.1774193548387097
EWR,MEM,103,0.33980582524271846
SEA,MEM,18,0.7222222222222222
DTW,CMH,89,0.5617977528089888
MEM,ICT,50,0.36
XNA,LGA,49,0.3469387755102041
LAX,OKC,24,0.4166666666666667
DEN,SGF,71,0.4507042253521127
BWI,MCO,295,0.5084745762711864
PHX,KOA,15,0.3333333333333333
HOU,MAF,43,0.6511627906976745
ANC,OME,25,0.64
SNA,SMF,139,0.7769784172661871
PHX,PIT,103,0.4368932038834951
STL,LAX,114,0.6228070175438597
AMA,DEN,40,0.775
MIA,STT,49,0.5510204081632653
BHM,ATL,300,0.38666666666666666
RSW,PIT,43,0.3488372093023256
IAH,RIC,65,0.5538461538461539
LAS,DTW,146,0.4178082191780822
TVC,MSP,13,0.3076923076923077
TPA,PVD,55,0.2727272727272727
BUF,ORD,203,0.3645320197044335
LAS,BOI,48,0.7708333333333334
LAS,JAX,24,0.9166666666666666
FLL,DCA,113,0.25663716814159293
FLL,BUF,47,0.5531914893617021
DAY,DFW,72,0.2777777777777778
OMA,MSP,75,0.41333333333333333
GSO,DFW,52,0.38461538461538464
MSP,DAY,77,0.33766233766233766
SYR,ORD,135,0.5259259259259259
ORD,CHA,48,0.2708333333333333
DTW,JAX,58,0.5517241379310345
MDW,CLE,134,0.7164179104477612
STL,MDW,205,0.6829268292682927
BOS,SEA,53,0.4339622641509434
STL,SEA,45,0.4444444444444444
BHM,DAL,70,0.7428571428571429
IAD,LAX,263,0.3840304182509506
AUS,LAS,75,0.6933333333333334
SWF,FLL,26,0.3076923076923077
CLT,IAD,195,0.3230769230769231
MEM,MSY,51,0.3137254901960784
MSP,LAN,24,0.25
MSP,MSY,24,0.5
SFO,RDD,97,0.6185567010309279
DEN,MLI,50,0.42
JFK,SFO,443,0.4153498871331828
MCO,PHX,77,0.4675324675324675
LAX,STL,125,0.52
HOU,BNA,95,0.7578947368421053
RNO,BOI,54,0.7222222222222222
MHT,LAS,28,0.2857142857142857
ORD,BOS,408,0.44607843137254904
PBI,EWR,176,0.48295454545454547
OKC,STL,47,0.425531914893617
BWI,PBI,80,0.7125
IAD,SAT,41,0.07317073170731707
LGA,FLL,237,0.47257383966244726
IND,ATL,274,0.35766423357664234
CLT,STL,87,0.367816091954023
RSW,BUF,22,0.22727272727272727
BKG,ATL,43,0.2558139534883721
DFW,SGF,190,0.3263157894736842
MKE,STL,63,0.4603174603174603
SYR,DTW,101,0.5445544554455446
XNA,MSP,47,0.2765957446808511
ORD,TRI,53,0.3018867924528302
LEX,ATL,198,0.4696969696969697
MFE,MEM,64,0.234375
ORD,PAH,53,0.32075471698113206
HDN,DEN,74,0.24324324324324326
PHX,ORD,318,0.3710691823899371
TPA,ATL,476,0.2689075630252101
HNL,SMF,27,0.37037037037037035
DEN,ICT,112,0.29464285714285715
SLC,PHX,412,0.587378640776699
PHX,RNO,169,0.34911242603550297
DEN,FSD,100,0.38
FLL,LGA,251,0.3944223107569721
MHT,PHX,23,0.5652173913043478
PIT,MCO,130,0.5692307692307692
IND,DEN,145,0.5103448275862069
SJU,CLT,71,0.39436619718309857
STT,SJU,15,0.0
PHL,STT,17,0.4117647058823529
RSW,HPN,42,0.30952380952380953
SFO,AUS,74,0.6216216216216216
SJU,FLL,60,0.6333333333333333
ABQ,ORD,50,0.38
OKC,MEM,73,0.3424657534246575
MSP,OKC,60,0.31666666666666665
MEM,CVG,68,0.27941176470588236
ATL,AGS,208,0.4375
CDC,SLC,44,0.5
EWR,IAH,274,0.6532846715328468
FLL,MDW,96,0.6875
TUS,DEN,209,0.3253588516746411
LAS,SDF,26,0.8846153846153846
MKE,ATL,272,0.40808823529411764
MDW,SEA,43,0.8837209302325582
DFW,RSW,82,0.5975609756097561
TPA,DEN,130,0.3769230769230769
AUS,DFW,356,0.199438202247191
PBI,HPN,123,0.17886178861788618
ATL,GSO,237,0.3333333333333333
LEX,FLL,10,0.9
SJU,CLE,4,0.75
SDF,EWR,66,0.4393939393939394
SLC,RAP,44,0.25
SLC,GTF,63,0.31746031746031744
IAD,PVD,56,0.25
IAD,ROA,50,0.38
DEN,BHM,39,0.5128205128205128
IAD,ORF,70,0.3
ORD,CLT,373,0.4477211796246649
MIA,SEA,24,0.4166666666666667
SFO,ORD,383,0.42036553524804177
MIA,EWR,189,0.544973544973545
KTN,WRG,18,0.2222222222222222
DEN,TPA,133,0.5037593984962406
DEN,ONT,129,0.4263565891472868
BWI,BUF,149,0.8322147651006712
ORF,LAS,1,0.0
ATL,DEN,343,0.5451895043731778
MCI,LAX,54,0.8518518518518519
STL,ORD,211,0.2890995260663507
BDL,DTW,86,0.32558139534883723
MIA,TUL,8,0.5
BMI,ATL,176,0.48863636363636365
TUL,DFW,197,0.18781725888324874
FLL,MDT,12,0.0
LAS,MSP,160,0.48125
ATL,CRW,95,0.3473684210526316
IAD,ROC,81,0.35802469135802467
HTS,CVG,43,0.11627906976744186
HOU,MSY,230,0.6826086956521739
STL,HOU,88,0.8409090909090909
